entity_type,entity_id,classification,quarantine_status,mapping_status,organization_candidate_count,human_decision,allowed_human_decisions,target_organization_id,evidence_reference,active_inactive_disposition,decision_reason,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
ExpertConsoleLog,99,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,100,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,101,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,102,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,103,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,104,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleLog,105,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,48,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,49,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,50,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,51,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,52,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,53,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,54,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,55,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,56,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,57,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,58,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,59,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,60,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,61,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,62,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,63,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
